full_name,monetary,frequency,recency,rfm_segment
Abyasa Ardianto,330273,1,148,lost_customers
Abyasa Firgantoro,8115383,17,103,potential churners
Abyasa Firmansyah,1229803,4,387,lost_customers
Abyasa Hardiansyah,250015,1,1015,lost_customers
Abyasa Haryanto,2302516,6,24,
Abyasa Hutagalung,82360011,88,15,loyal
Abyasa Iswahyudi,18424748,22,210,new customers
Abyasa Kurniawan,20675066,11,4,
Abyasa Latupono,11064957,28,89,
Abyasa Manullang,4055731,8,138,potential churners
Abyasa Maulana,19720191,32,20,"slipping away, cannot lose"
Abyasa Megantara,27370109,31,13,"slipping away, cannot lose"
Abyasa Nababan,2142455,3,705,lost_customers
Abyasa Nainggolan,14526222,21,50,active
Abyasa Pangestu,3063681,3,176,lost_customers
Abyasa Pranowo,81017912,123,47,loyal
Abyasa Rajasa,64743117,14,467,
Abyasa Rajata,14506863,12,213,active
Abyasa Samosir,858254,2,63,lost_customers
Abyasa Saptono,786184,3,548,lost_customers
Abyasa Saragih,10464624,21,27,potential churners
Abyasa Sihombing,12941936,9,371,
Abyasa Sihotang,31183682,42,77,active
Abyasa Simbolon,150677326,178,44,loyal
Abyasa Sirait,12557913,22,28,potential churners
Abyasa Siregar,4642567,7,128,potential churners
Abyasa Situmorang,364751,2,244,lost_customers
Abyasa Tampubolon,9932543,10,385,
Abyasa Wacana,14896710,30,44,active
Abyasa Waluyo,2710947,7,402,
Abyasa Zulkarnain,2519201,7,228,
Ade Adriansyah,556980,2,249,lost_customers
Ade Agustina,5124683,16,120,potential churners
Ade Andriani,54110936,57,39,"slipping away, cannot lose"
Ade Anggraini,176682946,113,26,loyal
Ade Anggriawan,1008797,3,509,lost_customers
Ade Aryani,413548,1,729,lost_customers
Ade Budiman,53499365,48,26,active
Ade Dabukke,106920406,32,70,active
Ade Dongoran,8453529,15,27,potential churners
Ade Farida,7133662,7,17,
Ade Fujiati,3128338,7,59,potential churners
Ade Hakim,114298763,75,2,loyal
Ade Halim,246648,1,1022,lost_customers
Ade Halimah,364391011,114,19,loyal
Ade Handayani,252221,1,1338,lost_customers
Ade Hardiansyah,137375641,114,47,loyal
Ade Hariyah,150356836,177,4,loyal
Ade Hartati,2856182,12,63,potential churners
Ade Haryanti,4057948,5,101,lost_customers
Ade Hasanah,522220,1,1688,lost_customers
Ade Hassanah,6505764,17,140,potential churners
Ade Kusmawati,98880208,101,12,loyal
Ade Kuswandari,38527555,32,111,active
Ade Lailasari,100874501,142,7,loyal
Ade Laksita,1402975,5,62,
Ade Laksmiwati,27457850,67,17,"slipping away, cannot lose"
Ade Lestari,20410370,22,42,active
Ade Mandasari,1433216,3,60,
Ade Mangunsong,214213076,107,23,loyal
Ade Mardhiyah,1535034,5,662,lost_customers
Ade Maryati,128420840,97,46,loyal
Ade Mayasari,40884572,46,83,active
Ade Melani,2600742,7,90,potential churners
Ade Mustofa,37161762,34,46,active
Ade Najmudin,35981602,49,28,active
Ade Namaga,24923647,36,25,active
Ade Nasyiah,32026742,47,3,"slipping away, cannot lose"
Ade Nasyidah,5814669,6,341,
Ade Novitasari,41387186,77,3,"slipping away, cannot lose"
Ade Nugroho,401275111,351,64,
Ade Nuraini,60167564,54,93,
Ade Nurdiyanti,52819391,84,13,"slipping away, cannot lose"
